Región: Valparaiso
  horas: regional=9772, global=374621, ratio=0.0261
  personas: regional=9090, global=578017, ratio=0.0157
  carabineros: regional=8319, global=211240, ratio=0.0394
  primera: regional=8172, global=346810, ratio=0.0236
  regional: regional=8087, global=154172, ratio=0.0525
  partido: regional=7853, global=361125, ratio=0.0217
  universidad: regional=7660, global=215500, ratio=0.0355
  sector: regional=7451, global=237686, ratio=0.0313
  lugar: regional=7446, global=346227, ratio=0.0215
  comuna: regional=7271, global=195129, ratio=0.0373
  ovalle: regional=7266, global=9881, ratio=0.7354
  equipo: regional=7195, global=269576, ratio=0.0267
  trabajo: regional=7156, global=325041, ratio=0.0220

Región: Los Lagos
  puerto: regional=20481, global=126582, ratio=0.1618
  castro: regional=20410, global=35528, ratio=0.5745
  lagos: regional=18013, global=52409, ratio=0.3437
  montt: regional=15359, global=25792, ratio=0.5955
  región: regional=14912, global=382871, ratio=0.0389
  osorno: regional=12784, global=15860, ratio=0.8061
  chile: regional=12018, global=1028292, ratio=0.0117
  chiloé: regional=10615, global=14739, ratio=0.7202
  personas: regional=9527, global=578017, ratio=0.0165
  salud: regional=9359, global=276444, ratio=0.0339
  regional: regional=8112, global=154172, ratio=0.0526
  comuna: regional=8016, global=195129, ratio=0.0411
  nacional: regional=7804, global=523528, ratio=0.0149
  proyecto: regional=7189, global=263495, ratio=0.0273
  caso: regional=7081, global=391855, ratio=0.0181
  país: regional=6774, global=584321, ratio=0.0116
  sector: regional=6689, global=237686, ratio=0.0281
  señaló: regional=6551, global=255119, ratio=0.0257
  trabajo: regional=6490, global=325041, ratio=0.0200
  contra: regional=6485, global=513132, ratio=0.0126

Región: OHiggins
  higgins: regional=32577, global=58647, ratio=0.5555
  rancagua: regional=29052, global=39010, ratio=0.7447
  región: regional=18585, global=382871, ratio=0.0485
  chile: regional=15668, global=1028292, ratio=0.0152
  horas: regional=12353, global=374621, ratio=0.0330
  personas: regional=10902, global=578017, ratio=0.0189
  regional: regional=10305, global=154172, ratio=0.0668
  nacional: regional=10098, global=523528, ratio=0.0193
  comuna: regional=8697, global=195129, ratio=0.0446
  santa: regional=8689, global=62496, ratio=0.1390
  colo: regional=7763, global=274103, ratio=0.0283
  trabajo: regional=7681, global=325041, ratio=0.0236
  cruz: regional=7603, global=36497, ratio=0.2083
  carabineros: regional=7535, global=211240, ratio=0.0357
  lugar: regional=7519, global=346227, ratio=0.0217
  sector: regional=7116, global=237686, ratio=0.0299
  seguridad: regional=7091, global=325292, ratio=0.0218
  primera: regional=7054, global=346810, ratio=0.0203
  contra: regional=7015, global=513132, ratio=0.0137
  país: regional=6867, global=584321, ratio=0.0118

Región: La Araucania
  victoria: regional=40161, global=73976, ratio=0.5429
  araucanía: regional=28008, global=44397, ratio=0.6309
