fecha, articulos, promedio_movil_7d, factor
2023-09-20, 1365, 761.0, 1.79x
2023-09-21, 1419, 762.6, 1.86x
2023-09-22, 1388, 806.6, 1.72x
2024-09-24, 1904, 1058.1, 1.80x
2024-09-25, 1695, 1092.0, 1.55x
2025-01-07, 1548, 1030.1, 1.50x
2025-04-02, 1864, 1030.9, 1.81x
2025-04-03, 1756, 1090.1, 1.61x
2025-09-23, 1906, 1155.7, 1.65x
2025-09-24, 1923, 1185.4, 1.62x
2025-09-25, 1882, 1235.6, 1.52x
